LaptopID,Brand,RamSize,StorageType,StorageCapacity
v1|235942156398|0,Apple,4GB,Unknown,Unknown
v1|335801080143|0,Apple,8GB,Unknown,Unknown
v1|235768171195|0,Apple,8GB,Unknown,Unknown
v1|335802648358|0,Apple,4GB,Unknown,Unknown
v1|335796459074|0,Apple,4GB,Unknown,Unknown
v1|235942210003|0,Apple,4GB,Unknown,Unknown
v1|145562492342|0,Apple,2GB,Unknown,Unknown
v1|335689845288|0,Apple,8GB,Unknown,Unknown
v1|335811774181|0,Apple,4GB,Unknown,Unknown
v1|126603964398|0,Apple,4GB,Unknown,Unknown
v1|235946851553|0,Apple,4GB,Unknown,Unknown
v1|285560438838|0,Apple,Unknown,Unknown,Unknown
v1|335644528263|0,Apple,8GB,Unknown,Unknown
v1|335801023479|0,Apple,4GB,Unknown,Unknown
v1|335601315532|0,Apple,8GB,Unknown,Unknown
v1|405136144980|0,Apple,Unknown,Unknown,Unknown
v1|235555558750|0,Apple,8GB,Unknown,Unknown
v1|235957375528|0,Apple,4GB,Unknown,Unknown
v1|335599499488|0,Apple,8GB,Unknown,Unknown
v1|145585968934|0,Apple,Unknown,HDD,Unknown
v1|335848375108|0,Apple,4GB,Unknown,Unknown
v1|235948578819|0,Apple,4GB,Unknown,Unknown
v1|335796425343|0,Apple,4GB,Unknown,Unknown
v1|235946863597|0,Apple,4GB,Unknown,Unknown
v1|235555659801|0,Apple,8GB,Unknown,Unknown
v1|235829575176|0,Apple,4GB,Unknown,Unknown
v1|235768117762|0,Apple,8GB,Unknown,Unknown
v1|235829521133|0,Apple,4GB,Unknown,Unknown
v1|335647895102|0,Apple,8GB,Unknown,Unknown
v1|235770736565|0,Apple,8GB,Unknown,Unknown
v1|335512606276|0,Apple,8GB,Unknown,Unknown
v1|235946904153|0,Apple,4GB,Unknown,Unknown
v1|335674649591|0,Apple,4GB,Unknown,Unknown
v1|235946890882|0,Apple,4GB,Unknown,Unknown
v1|335811756259|0,Apple,8GB,Unknown,Unknown
v1|235957322559|0,Apple,8GB,Unknown,Unknown
v1|335318873659|0,Apple,8GB,Unknown,Unknown
v1|235658243380|0,Apple,8GB,Unknown,Unknown
v1|335783349641|0,Apple,4GB,Unknown,Unknown
v1|156648214019|0,Apple,Unknown,Unknown,Unknown
v1|335110311165|0,Apple,4GB,Unknown,Unknown
v1|335801092392|0,Apple,4GB,Unknown,Unknown
v1|235918861818|0,Apple,4GB,Unknown,Unknown
v1|335796428495|0,Apple,8GB,Unknown,Unknown
v1|335673017940|0,Apple,4GB,Unknown,Unknown
v1|235942176048|0,Apple,4GB,Unknown,Unknown
v1|235758925166|0,Apple,8GB,Unknown,Unknown
v1|286383369543|0,Apple,Unknown,Unknown,Unknown
v1|235535603185|0,Apple,8GB,Unknown,Unknown
v1|296077583007|0,Apple,Unknown,Unknown,Unknown
v1|335801068930|0,Apple,4GB,Unknown,Unknown
v1|335774709344|0,Apple,4GB,Unknown,Unknown
v1|335796411614|0,Apple,8GB,Unknown,Unknown
v1|335774716237|0,Apple,4GB,Unknown,Unknown
v1|376043904629|0,Asus,4GB,HDD,120GB
v1|166755856588|0,Asus,4GB,SSD,128GB
v1|376097911056|0,Asus,8GB,SSD,128GB
v1|285286978724|0,Asus,4GB,SSD,128GB
v1|354781081305|0,Asus,4GB,SSD,128GB
v1|276693784556|0,Asus,4GB,Unknown,16GB
v1|167222990070|0,Asus,16GB,SSD,1TB
v1|146493629497|0,Asus,16GB,SSD,1TB
v1|375294315120|0,Asus,16GB,Unknown,1TB
v1|176979798526|0,Asus,32GB,SSD,1TB
v1|277003913200|0,Asus,16GB,HDD,1TB
v1|146494143604|0,Asus,24GB,Unknown,1TB
v1|236036985291|0,Asus,64GB,Unknown,1TB
v1|205140561550|0,Asus,8GB,SSD,1TB
v1|334565940372|0,Asus,8GB,SSD,240GB
v1|205066998880|0,Asus,8GB,SSD,250GB
v1|166883029206|0,Asus,8GB,Unknown,256GB
v1|304850868934|0,Asus,8GB,SSD,256GB
v1|305346555350|0,Asus,Unknown,SSD,256GB
v1|306219904667|0,Asus,24GB,Unknown,2TB
v1|156852247475|0,Asus,64GB,Unknown,2TB
v1|126132334495|0,Asus,4GB,HDD,320GB
v1|156853272755|0,Asus,4GB,Unknown,32GB
v1|305140640177|0,Asus,4GB,SSD,32GB
v1|305546337424|0,Asus,4GB,Unknown,32GB
v1|297110599820|0,Asus,4GB,Unknown,32GB
v1|205393326212|0,Asus,4GB,Unknown,32GB
v1|226638102412|0,Asus,2GB,Unknown,32GB
v1|305804426604|0,Asus,2GB,Unknown,32GB
v1|145032637249|0,Asus,Unknown,HDD,32GB
v1|135105531613|0,Asus,Unknown,HDD,4GB
v1|387829125781|655091727684,Asus,64GB,SSD,4TB
v1|325246191307|0,Asus,4GB,HDD,500GB
v1|115894767950|0,Asus,4GB,HDD,500GB
v1|134555480036|0,Asus,4GB,HDD,500GB
v1|126731239152|0,Asus,8GB,Unknown,500GB
v1|387170226245|0,Asus,4GB,Unknown,500GB
v1|267009764480|0,Asus,4GB,HDD,500GB
v1|375564899448|0,Asus,4GB,HDD,500GB
v1|146456941048|0,Asus,8GB,Unknown,512GB
v1|277003978134|0,Asus,16GB,SSD,512GB
v1|226315795382|0,Asus,Unknown,Unknown,512GB
v1|365505235671|0,Asus,16GB,Unknown,512GB
v1|326516758256|0,Asus,16GB,Unknown,512GB
v1|146442855326|0,Asus,8GB,SSD,512GB
v1|335895263792|0,Asus,16GB,SSD,512GB
v1|306219878767|0,Asus,16GB,Unknown,512GB
v1|205396453753|0,Asus,16GB,SSD,512GB
v1|388197348174|0,Asus,16GB,SSD,512GB
v1|205396453662|0,Asus,16GB,Unknown,512GB
v1|283360547245|0,Asus,4GB,SSD,64GB
v1|374659654480|0,Asus,4GB,Unknown,64GB
v1|404079484392|0,Asus,4GB,Unknown,64GB
v1|375948073483|0,Asus,4GB,Unknown,64GB
v1|266786318768|0,Asus,4GB,Unknown,64GB
v1|276762253516|0,Asus,4GB,Unknown,64GB
v1|116468695496|0,Asus,4GB,Unknown,64GB
v1|127031830640|0,Asus,4GB,Unknown,64GB
v1|297162687695|0,Asus,4GB,Unknown,64GB
v1|325868402095|0,Asus,4GB,Unknown,64GB
v1|205396336428|0,Asus,8GB,Unknown,64GB
v1|184187681092|0,Asus,Unknown,HDD,8GB
v1|196337518161|0,Asus,16GB,Unknown,Unknown
v1|186710726341|0,Asus,Unknown,Unknown,Unknown
v1|176604029833|0,Asus,Unknown,Unknown,Unknown
v1|167426646373|0,Asus,Unknown,Unknown,Unknown
v1|326185324610|0,Asus,4GB,Unknown,Unknown
v1|356737130799|0,Asus,Unknown,Unknown,Unknown
v1|326094967184|0,Asus,4GB,Unknown,Unknown
v1|204705621388|0,Asus,Unknown,Unknown,Unknown
v1|265484447319|0,Asus,64GB,Unknown,Unknown
