Brand,Seller_ID,Avg_Price,Min_Price,Max_Price,Total_Listings,Price_Tendency
HP,tryna-buy,246.46,246.46,246.46,1,Stable Price
HP,tynav-5,100.0,100.0,100.0,1,Stable Price
HP,joey.773,139.99,139.99,139.99,1,Stable Price
Panasonic,collection_7952,317.99,317.99,317.99,1,Stable Price
Vaio,collection_7952,287.48,287.48,287.48,1,Stable Price
Dell,bridgezon,303.33,200.0,410.0,3,Price Spike
HP,silicon_salvage,199.99,199.99,199.99,1,Stable Price
HP,famoustechshopllc,159.99,159.99,159.99,1,Stable Price
HP,butlers_powersports_and_equipment_clibbins,129.0,129.0,129.0,1,Stable Price
Toshiba,ticktock1-2-3,199.99,199.99,199.99,1,Stable Price
SGIN,smoya911,104.99,104.99,104.99,1,Stable Price
Intel,smoya911,117.49,109.99,124.99,2,Stable Price
HP,snapsell-2,590.0,590.0,590.0,1,Stable Price
ThinkPad,hawk_line,115.0,108.0,119.0,3,Stable Price
HP,hawk_line,136.0,109.99,203.0,4,Price Spike
Intel,hawk_line,149.0,107.0,240.0,7,Price Spike
Lenovo,hawk_line,129.0,129.0,129.0,1,Stable Price
Asus,hawk_line,103.0,103.0,103.0,1,Stable Price
Dell,hawk_line,147.33,119.0,164.0,3,Stable Price
Microsoft,hawk_line,107.0,107.0,107.0,1,Stable Price
Lenovo,geekdealzz,109.99,109.99,109.99,1,Stable Price
HP,fcmanagement,282.5,282.5,282.5,1,Stable Price
HP,avpawn,340.0,340.0,340.0,1,Stable Price
Lenovo,rtl_world,138.33,138.33,138.33,1,Stable Price
Intel,lex_computers,350.0,350.0,350.0,1,Stable Price
ThinkPad,etech-estore,269.99,269.99,269.99,1,Stable Price
Intel,pcmac_mcmadusonatl,325.0,325.0,325.0,1,Stable Price
Dell,pcmac_mcmadusonatl,275.0,275.0,275.0,1,Stable Price
Intel,tektreat,109.99,109.99,109.99,1,Stable Price
Apple,davcotrade,125.0,125.0,125.0,1,Stable Price
Intel,globaloneenter,399.0,399.0,399.0,1,Stable Price
Dell,globaloneenter,242.1,242.1,242.1,1,Stable Price
Apple,cyber.sunshine.labs,159.99,159.99,159.99,1,Stable Price
Intel,gouli-8771,109.0,109.0,109.0,1,Stable Price
HP,lucase42,120.0,120.0,120.0,1,Stable Price
Intel,b-aras0,285.93,103.57,457.95,6,Price Spike
HP,b-aras0,237.84,237.84,237.84,1,Stable Price
Lenovo,b-aras0,174.97,174.97,174.97,1,Stable Price
Intel,atmarktradinginc,349.0,349.0,349.0,1,Stable Price
ThinkPad,multilateral_trading,229.98,229.98,229.98,1,Stable Price
Dell,cabrajose,145.0,145.0,145.0,1,Stable Price
Intel,cabrajose,179.0,179.0,179.0,1,Stable Price
HP,mega_field,229.0,229.0,229.0,1,Stable Price
Dell,mega_field,120.0,120.0,120.0,1,Stable Price
Intel,mega_field,120.99,120.99,120.99,1,Stable Price
Intel,carmenvel81,270.0,270.0,270.0,1,Stable Price
ThinkPad,jtd*direct,150.0,150.0,150.0,1,Stable Price
Dell,compco_usa,274.99,249.99,299.99,2,Stable Price
Lenovo,dmlkl2012,269.0,269.0,269.0,1,Stable Price
Intel,dell,494.99,379.99,599.99,4,Price Spike
Dell,dell,629.99,629.99,629.99,1,Stable Price
HP,uniquetechllc,299.62,299.62,299.62,1,Stable Price
Huawei,photographymallstore,469.0,469.0,469.0,1,Stable Price
Intel,goodtech1101,161.99,161.99,161.99,1,Stable Price
Microsoft,la.tronics,277.46,219.95,369.95,4,Price Spike
HP,best_buy,369.66,159.0,499.99,3,Price Spike
Intel,best_buy,349.99,130.99,549.99,3,Price Spike
Lenovo,best_buy,279.99,279.99,279.99,1,Stable Price
Asus,best_buy,184.0,139.0,229.0,2,Price Spike
Intel,rrdeploy,129.99,129.99,129.99,1,Stable Price
Lenovo,komercos,329.99,329.99,329.99,1,Stable Price
Dell,komercos,149.99,149.99,149.99,1,Stable Price
Latitude,*dealsdealsdeals*,129.99,129.99,129.99,1,Stable Price
Asus,basiccomputer,410.0,410.0,410.0,1,Stable Price
Lenovo,elijahmorey,250.0,250.0,250.0,1,Stable Price
ThinkPad,cyberarch_net,499.0,499.0,499.0,1,Stable Price
HP,hirezaudio,679.96,679.96,679.96,1,Stable Price
ThinkPad,qrcomputer,319.0,319.0,319.0,1,Stable Price
Dell,qrcomputer,299.87,239.99,444.99,8,Price Spike
Toshiba,pawnbox,199.95,199.95,199.95,1,Stable Price
Intel,world_togo,149.95,149.95,149.95,1,Stable Price
Lenovo,online_pickers,175.0,175.0,175.0,1,Stable Price
Intel,online_pickers,200.0,200.0,200.0,1,Stable Price
Dell,ddmtechnik,426.84,426.84,426.84,1,Stable Price
Dell,computechdealllc,212.49,189.99,249.99,4,Stable Price
HP,pcworlddepot,329.0,329.0,329.0,1,Stable Price
Dell,ingrammicrorefurbished,317.99,229.99,499.99,4,Price Spike
HP,ingrammicrorefurbished,286.82,203.0,379.99,7,Price Spike
Dell,chipstore_us,499.13,499.13,499.13,1,Stable Price
Intel,2014xcess,149.99,149.99,149.99,1,Stable Price
HP,idealbuyandsell,199.99,199.99,199.99,1,Stable Price
ThinkPad,m22567,165.0,165.0,165.0,1,Stable Price
Dell,m22567,120.0,120.0,120.0,1,Stable Price
Lenovo,pawn1_20,279.99,279.99,279.99,1,Stable Price
Toshiba,pawn1_20,379.99,379.99,379.99,1,Stable Price
Samsung,deal-manufacturer,111.2,111.2,111.2,1,Stable Price
Dell,laptopcaretx,247.38,189.88,399.88,4,Price Spike
Dell,poweron.com,139.93,139.92,139.94,3,Stable Price
HP,poweron.com,227.48,224.98,229.97,4,Stable Price
Intel,besteezy,106.4,106.4,106.4,1,Stable Price
HP,besteezy,255.37,255.37,255.37,1,Stable Price
Intel,brighttechnology1,190.0,190.0,190.0,1,Stable Price
Microsoft,eucasys,184.43,184.43,184.43,1,Stable Price
Acer,orricha_40,239.99,239.99,239.99,1,Stable Price
Dell,uncletonys,110.0,110.0,110.0,1,Stable Price
Toshiba,asfhhmz2,110.0,110.0,110.0,1,Stable Price
Intel,ebereonw_0,160.0,160.0,160.0,1,Stable Price
Intel,mobile.fundraisers-0,338.22,196.5,455.0,8,Price Spike
Dell,insightinvestments,229.0,229.0,229.0,1,Stable Price
Lenovo,natek777,149.99,149.99,149.99,1,Stable Price
HP,webuyyourjunk,169.96,169.96,169.96,1,Stable Price
Intel,webuyyourjunk,169.96,169.96,169.96,1,Stable Price
HP,amju62,199.0,199.0,199.0,1,Stable Price
CHUWI,xcesslimited2013,199.0,199.0,199.0,1,Stable Price
Intel,xcesslimited2013,225.0,225.0,225.0,1,Stable Price
HP,xcesslimited2013,150.0,150.0,150.0,1,Stable Price
Acer,wowdealss,130.0,130.0,130.0,1,Stable Price
Intel,*euroathome*,129.99,129.99,129.99,1,Stable Price
HP,electrabuy,189.99,189.99,189.99,1,Stable Price
Intel,electrabuy,655.49,655.49,655.49,1,Stable Price
HP,comptechdirect,301.98,238.48,354.78,3,Price Drop
Intel,comptechdirect,430.11,330.51,683.68,4,Price Spike
Intel,juluplus,139.99,119.0,159.99,3,Stable Price
Dell,juluplus,205.71,105.0,650.0,7,Price Spike
Dell,rboost,189.0,139.0,239.0,2,Price Spike
HP,li_6345,275.0,250.0,300.0,2,Stable Price
Toshiba,li_6345,269.5,170.0,450.0,4,Price Spike
Intel,li_6345,260.0,260.0,260.0,1,Stable Price
Dell,li_6345,399.0,399.0,399.0,1,Stable Price
Intel,dharimall,248.28,248.28,248.28,1,Stable Price
Intel,quickdeal12,204.99,204.99,204.99,1,Stable Price
HP,quickdeal12,119.0,119.0,119.0,1,Stable Price
Intel,bluebrierllc,234.99,234.99,234.99,1,Stable Price
Dell,mrgametimerob47_5,200.0,200.0,200.0,1,Stable Price
Intel,photobooth3,204.99,109.99,299.99,2,Price Spike
Dell,photobooth3,119.99,119.99,119.99,1,Stable Price
HP,photobooth3,109.0,109.0,109.0,1,Stable Price
HP,alex23rus,120.0,120.0,120.0,1,Stable Price
Vaio,ryown1123,198.46,198.46,198.46,1,Stable Price
Intel,acer,279.93,101.19,675.99,24,Price Spike
Acer,acer,320.99,115.99,629.99,13,Price Spike
HP,buyrefurbishedus,506.99,493.99,519.99,2,Stable Price
Intel,buyrefurbishedus,644.99,629.99,659.99,2,Stable Price
Intel,tvrsales3,126.12,101.97,159.95,12,Price Spike
HP,tvrsales3,122.34,101.97,311.97,26,Price Spike
Apple,tvrsales3,101.97,101.97,101.97,1,Stable Price
Intel,tvrsales2,179.97,179.97,179.97,1,Stable Price
Apple,tvrsales2,121.97,101.97,155.97,15,Price Spike
HP,tvrsales2,135.95,129.95,144.95,5,Stable Price
Lenovo,a19-ry,165.45,165.45,165.45,1,Stable Price
HP,vipoutlet,286.94,120.0,546.0,18,Price Spike
Gateway,vipoutlet,450.0,450.0,450.0,1,Stable Price
Intel,vipoutlet,224.77,103.0,391.0,17,Price Spike
Lenovo,vipoutlet,300.6,198.0,403.2,2,Price Spike
Acer,vipoutlet,111.25,103.5,119.0,2,Stable Price
Getac,crypto_red,174.07,174.07,174.07,1,Stable Price
HP,norrios,154.99,154.99,154.99,1,Stable Price
