Seller_ID,Total_Listings,Avg_Price,Feedback_Score,Seller_Tier
buyrefurbishedus,5,710.79,96.8,New Seller
cnedirect,11,293.81,98.1,Rising Seller
colocomputer,16,478.82,100.0,Rising Seller
computerdealsdirect,2,1021.19,100.0,New Seller
delloutlet,1,594.7,98.1,New Seller
focuscamera,11,389.99,99.2,Rising Seller
liquidated-surplus,4,1194.19,98.7,New Seller
primetimebuys,23,259.26,99.0,Rising Seller
renew4me,6,265.49,97.9,New Seller
0_rach_0,532,837.85,99.3,Top Seller
alpha_tech_store,2,774.0,98.4,New Seller
custom-rugged-laptops,2,317.0,98.4,New Seller
device-refresh,12,156.35,97.6,Rising Seller
dharimall,1,248.28,96.6,New Seller
discountcomputerdepot,54,222.83,98.7,Top Seller
ectdata,1,749.0,100.0,New Seller
guaranteecellular,6,917.83,100.0,New Seller
hs_tech,1,649.95,99.7,New Seller
ingrammicrorefurbished,11,298.15,96.0,Rising Seller
itsworthmore,11,591.34,98.7,Rising Seller
kl0,46,319.49,98.5,Rising Seller
ohoover79,2,499.99,100.0,New Seller
pioneer-surplus,24,345.67,99.0,Rising Seller
refreshedelectronics,12,86.34,99.6,Rising Seller
refurbconnect,4,301.75,100.0,New Seller
rinuvo,44,219.01,99.4,Rising Seller
shopcelldeals,1,605.97,99.3,New Seller
sj_computers_llc,8,298.49,97.9,New Seller
skyvineitad,1,270.0,99.2,New Seller
smgusa,3,279.99,98.3,New Seller
srahmancomputersysteminc,3,212.8,100.0,New Seller
sunnking,2,189.99,99.2,New Seller
tekdeals,6,70.5,98.2,New Seller
tekrefurbs,9,362.05,99.7,New Seller
toughbook-outlet,2,340.6,99.8,New Seller
verdi_commerce,1,459.99,98.8,New Seller
a4c,1,119.99,98.2,New Seller
aaa_pcs,9,527.0,100.0,New Seller
acebiz,1,214.99,99.6,New Seller
adagoom,13,343.27,100.0,Rising Seller
apcomputersplus,1,569.95,99.4,New Seller
auditmacstech,13,249.57,99.4,Rising Seller
blairtg,9,231.66,98.9,New Seller
bneacttrader,21,209.79,98.4,Rising Seller
boivllc,18,355.27,100.0,Rising Seller
cascade-assets,1,239.99,99.1,New Seller
computeroverhauls,1,549.95,99.7,New Seller
computersuperuser,5,454.96,98.6,New Seller
deluxepcs,18,414.16,100.0,Rising Seller
designix-us,3,219.03,99.4,New Seller
discountedcomputerscanada,2,567.49,100.0,New Seller
docs_laptops,2,463.5,100.0,New Seller
goodcomputerguy381,11,259.12,99.1,Rising Seller
itsupplyguy,3,263.02,99.5,New Seller
juluplus,13,158.07,96.6,Rising Seller
kzalta,2,324.99,100.0,New Seller
mobile.fundraisers-0,10,285.57,96.4,Rising Seller
mobileshark,5,531.99,99.9,New Seller
mountainlocals,11,54.67,98.7,Rising Seller
ocdepot,8,188.62,98.8,New Seller
outworldsystems,1,749.0,100.0,New Seller
overstock_outlet,1,165.0,100.0,New Seller
parts4pc,4,273.99,100.0,New Seller
pcrenewed,1,392.99,99.3,New Seller
printerreadycorp,17,237.6,100.0,Rising Seller
protoncomputers1,2,1369.99,100.0,New Seller
qrcomputer,9,301.99,95.8,New Seller
reusetek_electronics,20,217.99,99.2,Rising Seller
reviveit.io,33,314.84,99.4,Rising Seller
rsg613,3,376.66,100.0,New Seller
smartresale,8,462.49,98.9,New Seller
stock4less,5,180.57,97.3,New Seller
stthomas_31,3,305.98,98.6,New Seller
trd_digital,1,214.49,99.0,New Seller
trustedsale,27,360.99,98.6,Rising Seller
un-tech,7,243.49,99.6,New Seller
waukegancomputer,1,600.0,97.7,New Seller
yywirelesss,1,129.99,97.8,New Seller
asiru77,1,124.1,100.0,New Seller
bigdeals,1,296.99,98.7,New Seller
